headline,body,time_published,Text,category
"Taylor Swift wins top prize, announces new album at MTV VMAs",Taylor Swift took home the top prize at the 2022 MTV Video Music Awards on Sunday before she closed out the show with a surprisingly big announcement: Her new album.,292022.0,taylor swift win top prize announces new album mtv vmas taylor swift took home top prize mtv video music award sunday closed show surprisingly big announcement new album.,Entertainment
Gunn starts homecoming tour on high note,The first of the many concerts that Dibesh Pokharel AKA Arthur Gunn is going to play in Nepal was a banger.,222022.0,gunn start homecoming tour high note first many concert dibesh pokharel aka arthur gunn going play nepal banger.,Entertainment
"Most TV critics applaud 'House of the Dragon,' others find it less magical","The highly anticipated ""Game of Thrones"" prequel ""House of the Dragon"" received glowing reviews from many television critics on Friday, but still has a lot to prove to others.",202022.0,tv critic applaud house dragon others find le magical highly anticipated game throne prequel house dragon received glowing review many television critic friday still lot prove others.,Entertainment
Arthur Gunn arrives for a month-long musical tour,"Dibesh Pokhrel, known by his stage name Arthur Gunn, has arrived in Nepal from the US for ‘Tuborg Homecoming Arthur Gunn’ — a month-long musical tour across the nation.",192022.0,arthur gunn arrives month long musical tour dibesh pokhrel known stage name arthur gunn arrived nepal u tuborg homecoming arthur gunn month long musical tour across nation.,Entertainment
"In 'The Princess,' a documentary on Diana flips the focus","The last thing the world needs, you might think, is another Princess Diana documentary. It's a fair thought considering that almost 25 years after her death, her life and impact is still media fodder.",132022.0,princess documentary diana flip focus last thing world need might think another princess diana documentary. fair thought considering almost year death life impact still medium fodder.,Entertainment
Netflix sues creators of alleged 'Bridgerton' knockoff,"Netflix Inc NFLX.O on Friday sued the creators of an alleged unauthorized musical stage production of its popular period drama ""Bridgerton,"" accusing them of copyright infringement after building demand for their knockoff on TikTok.",302022.0,netflix sue creator alleged bridgerton knockoff netflix inc nflx.o friday sued creator alleged unauthorized musical stage production popular period drama bridgerton accusing copyright infringement building demand knockoff tiktok.,Entertainment
'Lord of the Rings' series trailer debuts at Comic-Con,"Comic-Con audiences got a sneak peek at the new ""Lord of the Rings"" series ""The Rings of Power"" Friday in San Diego.",232022.0,lord ring series trailer debut comic con comic con audience got sneak peek new lord ring series ring power friday san diego.,Entertainment
Global success of 'RRR' signals breakthrough for Tollywood,"India's film industry is one of the most vast and varied in the world — it's really not one but many separate industries, including Bollywood, Tollywood and others — yet few of the country's roughly 2,000 annually produced movies ever make much of a dent with Western audiences.",212022.0,global success rrr signal breakthrough tollywood india film industry one vast varied world really one many separate industry including bollywood tollywood others yet country roughly annually produced movie ever make much dent western audiences.,Entertainment
'Thor: Love and Thunder' scores franchise best debut,"Four movies in, Thor is still bringing the hammer down at the box office. "" Thor: Love and Thunder "" earned $143 million in its opening weekend in North America, according to studio estimates Sunday. It's a franchise best for the God of Thunder and another success story of the summer 2022 box office season.",112022.0,thor love thunder score franchise best debut four movie thor still bringing hammer box office. thor love thunder earned million opening weekend north america according studio estimate sunday. franchise best god thunder another success story summer box office season.,Entertainment
"BTS break sparks debate on activism, military exemptions","The surprise announcement by BTS last week that they were taking a break to focus on members’ solo projects stunned their global fanbase, shaking their label's stock price and leaving many questions about the K-pop supergroup’s future.",202022.0,bts break spark debate activism military exemption surprise announcement bts last week taking break focus member solo project stunned global fanbase shaking label stock price leaving many question k pop supergroup future.,Entertainment
Chris Hemsworth finds a rich groove in 'Spiderhead',"“Top Gun: Maverick” director Joseph Kosinski again had a plane in the air, only this time Chris Hemsworth was at the wheel.",152022.0,chris hemsworth find rich groove spiderhead top gun maverick director joseph kosinski plane air time chris hemsworth wheel.,Entertainment
